id,titulo,tipo,fonteTitulo,data_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,doi,autores,orcid_autores,departamento,origem,financiador,repositorioIPBeja,apoiosPublicacao
WOS:000790577700035,"A Nursing Care Intervention Model for Elderly People Adopting Self-care as a Central Concept","Proceedings Paper","GERONTECHNOLOGY, IWOG 2019",2020-01-01,1185,,359-372,359,372,14,10.1007/978-3-030-41494-8_35,"Maria Goes; Manuel Lopes; Henrique Oliveira; Joao Maroco; Cesar Fonseca; Margarida Santos; Jose Caeiro","0000-0001-7971-1689; 0000-0001-8687-4291; 0000-0002-5710-3719; 0000-0001-6306-8000","Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000790577700031,"Psychometric Qualities of a Core Set to Ascertain the Functional Profile of Portuguese Elderly Citizens","Proceedings Paper","GERONTECHNOLOGY, IWOG 2019",2020-01-01,1185,,314-329,314,329,16,10.1007/978-3-030-41494-8_31,"Maria Goes; Manuel Lopes; Henrique Oliveira; Joao Maroco; Cesar Fonseca; Margarida Santos; Jose Caeiro","0000-0001-7971-1689; 0000-0001-8687-4291; 0000-0002-5710-3719; 0000-0001-6306-8000","Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000559931400019,"A Nursing Care Intervention Model for Elderly People to Ascertain General Profiles of Functionality and Self Care Needs",Article,"SCIENTIFIC REPORTS",2020-02-04,10,1,,,,11,10.1038/s41598-020-58596-1,"Margarida Goes; Manuel Jose Lopes; Henrique Oliveira; Cesar Fonseca; Joao Maroco","0000-0001-6306-8000; 0000-0001-8687-4291","Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000601557000001,"The Quality of Life of Older Individuals Following the World Health Organization Assessment Criteria",Article,GERIATRICS,2020-12-01,5,4,,,,11,10.3390/geriatrics5040102,"Margarida Goes; Manuel Jose Lopes; Joao Maroco; Henrique Oliveira; Cesar Fonseca; Lisete Monico; Pedro Parreira; Jose Garcia-Alonso; Lara Guedes de Pinho","0000-0001-6306-8000; 0000-0001-8687-4291","Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000656154200001,"Psychometric properties of the WHOQOL-BREF(PT) in a sample of elderly citizens",Article,"HEALTH AND QUALITY OF LIFE OUTCOMES",2021-05-17,19,1,,,,12,10.1186/s12955-021-01783-z,"Margarida Goes; Manuel Lopes; Joao Maroco; Henrique Oliveira; Cesar Fonseca",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
WOS:000670966800001,"Functioning and Cognition of Portuguese Older Adults Attending in Residential Homes and Day Centers: A Comparative Study",Article,"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH",2021-07-01,18,13,,,,12,10.3390/ijerph18137030,"Manuel Jose Lopes; Lara Guedes de Pinho; Cesar Fonseca; Margarida Goes; Henrique Oliveira; Jose Garcia-Alonso; Anabela Afonso","0000-0001-6306-8000; 0000-0001-8687-4291","Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000689061700001,"An Integrated Decision Support System for Improving Wildfire Suppression Management",Article,"ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION",2021-08-01,10,8,,,,17,10.3390/ijgi10080497,"Miguel Lourenco; Luis B. Oliveira; Joao P. Oliveira; Andre Mora; Henrique Oliveira; Rui Santos",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
WOS:000741972000001,"Functional Profile of Older Adults Hospitalized in Convalescence Units of the National Network of Integrated Continuous Care of Portugal: A Longitudinal Study",Article,"JOURNAL OF PERSONALIZED MEDICINE",2021-12-01,11,12,,,,12,10.3390/jpm11121350,"Ana Ramos; Cesar Fonseca; Lara Pinho; Manuel Lopes; Henrique Oliveira; Adriana Henriques",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
WOS:000772147700007,"A Data Fusion of IoT Sensor Networks for Decision Support in Forest Fire Suppression","Proceedings Paper","INTERNET OF THINGS: TECHNOLOGY AND APPLICATIONS",2022-01-01,641,,96-108,96,108,13,10.1007/978-3-030-96466-5_7,"Joao P. Oliveira; Miguel Lourenco; Luis Oliveira; Andre Mora; Henrique Oliveira",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
WOS:000788279700023,"The Position Therapy in Elderly People at Risk of Developing Pressure Injuries","Proceedings Paper","GERONTECHNOLOGY IV",2022-01-01,,,245-256,245,256,12,10.1007/978-3-030-97524-1_23,"Rita Ferreira; Maria Margarida Goes; Henrique Oliveira; Joao Vitor Vieira; Margarida Santos","0000-0001-7971-1689; 0000-0001-8687-4291; 0000-0002-5710-3719","Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000788279700033,"Surveillance and Fall Prevention in the Elderly","Proceedings Paper","GERONTECHNOLOGY IV",2022-01-01,,,355-365,355,365,11,10.1007/978-3-030-97524-1_33,"Joao Andre; Maria Margarida Goes; Henrique Oliveira; Joao Vitor Vieira; Margarida Santos","0000-0001-7971-1689; 0000-0001-8687-4291; 0000-0002-5710-3719","Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000788279700009,"Satisfaction: A Concept Based on Functionality and Quality of Life to Be Integrated in a Nursing Care Performance System","Proceedings Paper","GERONTECHNOLOGY IV",2022-01-01,,,84-93,84,93,10,10.1007/978-3-030-97524-1_9,"Margarida Goes; Henrique Oliveira; Manuel Lopes; Cesar Fonseca; Lara Pinho",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
WOS:000790333100025,"Gains from Nursing Care in Mobilizing the Elderly Person After Hip Arthroplasty","Proceedings Paper","GERONTECHNOLOGY III, IWOG 2020",2021-01-01,,,262-276,262,276,15,10.1007/978-3-030-72567-9_25,"Iromisa Pereira; Rogerio Ferreira; Joao Vieira; Maria M. Goes; Teresa Mestre; Henrique Oliveira","0000-0002-5710-3719; 0000-0001-7971-1689; 0000-0001-8687-4291","Ciências Empresariais",WOS,N/A,N/A,N/A
