id,titulo,tipo,fonteTitulo,ano_publicacao,mes_publicacao,data_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,doi,autores_nome,autores_orcid,autor_IpBeja,orcid_autor_IpBeja,departamento,origem,financiador,repositorioIPBeja,apoiosPublicaçao
WOS:000917620900001,"The Development of Research Skills in Nursing Postgraduate Training",Article,"EDUCATION SCIENCES",2022,FEB,2022-02-01,12,2,undefined,undefined,undefined,9,10.3390/educsci12020078,"Ferreira, Rogerio; Sousa, Luis; Nobre, Cidalia; Nunes, Ana Clara; Fonseca, Cesar; Ferreira, Oscar; Baixinho, Cristina Lavareda","AAQ-9285-2020; Y-5003-2018; HNF-9692-2023; GZL-2698-2022; KHW-7048-2024; AAQ-8792-2020; H-7607-2019",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000788279700035,"Electrolyte Imbalances in the Elderly","Proceedings Paper","GERONTECHNOLOGY IV",2022,undefined,2022-01-01,undefined,undefined,378-387,378,387,10,10.1007/978-3-030-97524-1_35,"Sardinha, Eugenia; Ferreira, Rogerio; Vieira, Joao; Mestre, Teresa; Nunes, Ana Clara","DRP-1000-2022; AAQ-9285-2020; AAH-5613-2020; AAC-6207-2022; GZL-2698-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000788279700022,"The Practice of Physical Activity in a Person with Type 2 Diabetes Mellitus","Proceedings Paper","GERONTECHNOLOGY IV",2022,undefined,2022-01-01,undefined,undefined,233-244,233,244,12,10.1007/978-3-030-97524-1_22,"Martins, Filipa; Ferreira, Rogerio F.; Nunes, Ana Clara; Vieira, Joao V.; Mestre, Teresa","JLP-1763-2023; AAQ-9285-2020; GZL-2698-2022; AAH-5613-2020; AAC-6207-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000806948300001,"Applying Risk Indices to Assess and Manage Soil Salinization and Sodification in Crop Fields within a Mediterranean Hydro-Agricultural Area",Article,WATER,2021,NOV,2021-11-01,13,21,undefined,undefined,undefined,14,10.3390/w13213070,"Tomaz, Alexandra; Costa, Maria Joao; Coutinho, Joao; Dores, Jose; Catarino, Adriana; Martins, Ines; Mourinha, Clarisse; Guerreiro, Isabel; Pereira, Maria Margarida; Fabiao, Marta; Boteta, Luis; Patanita, Manuel; Palma, Patricia","I-5402-2019; M-4119-2013; I-6236-2015; DVJ-4304-2022; DVT-6541-2022; JMW-5923-2023; DVS-4109-2022; EXU-5394-2022; GMF-9968-2022; ESP-0318-2022; CFT-3808-2022; DYR-8555-2022; G-4112-2016",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000875973700001,"Insights into the Spatial and Temporal Variability of Soil Attributes in Irrigated Farm Fields and Correlations with Management Practices: A Multivariate Statistical Approach",Article,WATER,2022,OCT,2022-10-01,14,20,undefined,undefined,undefined,13,10.3390/w14203216,"Tomaz, Alexandra; Martins, Ines; Catarino, Adriana; Mourinha, Clarisse; Dores, Jose; Fabiao, Marta; Boteta, Luis; Coutinho, Joao; Patanita, Manuel; Palma, Patricia","I-5402-2019; JMW-5923-2023; DVT-6541-2022; DVS-4109-2022; DVJ-4304-2022; ESP-0318-2022; CFT-3808-2022; I-6236-2015; DYR-8555-2022; G-4112-2016",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000902618100001,"Monitoring and Prediction of Particulate Matter (PM<sub>2.5</sub> and PM<sub>10</sub>) around the Ipbeja Campus",Article,SUSTAINABILITY,2022,DEC,2022-12-01,14,24,undefined,undefined,undefined,9,10.3390/su142416892,"Silva, Flavia Matias Oliveira; Alexandrina, Eduardo Carlos; Pardal, Ana Cristina; Carvalhos, Maria Teresa; Lui, Elaine Schornobay","AGI-5513-2022; CCK-3330-2022; DYO-3019-2022; HKV-7591-2023; FJL-1164-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000991172300001,"Effects of Mineral and Organic Fertilization on Forage Maize Yield, Soil Carbon Balance, and NPK Budgets, Under Rainfed Conditions in the Azores Islands (Portugal)",Article,"INTERNATIONAL JOURNAL OF PLANT PRODUCTION",2023,SEP,2023-09-01,17,3,463-475,463,475,13,10.1007/s42106-023-00250-7,"Pacheco, Carlos Arruda; Oliveira, Andre; Tomaz, Alexandra","HHB-6549-2022; AAX-9243-2021; I-5402-2019",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:001031070300001,"Sustainability of High-Density Olive Orchards: Hints for Irrigation Management and Agroecological Approaches",Review,WATER,2023,JUL,2023-07-01,15,13,undefined,undefined,undefined,20,10.3390/w15132486,"Sobreiro, Justino; Patanita, Maria Isabel; Patanita, Manuel; Tomaz, Alexandra","HIZ-8266-2022; FQG-9196-2022; DYR-8555-2022; I-5402-2019",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:001172172600001,"Water Quality Assessment of a Hydro-Agricultural Reservoir in a Mediterranean Region (Case Study-Lage Reservoir in Southern Portugal)",Article,WATER,2024,FEB,2024-02-01,16,4,undefined,undefined,undefined,18,10.3390/w16040514,"Catarino, Adriana; Martins, Ines; Mourinha, Clarisse; Santos, Joao; Tomaz, Alexandra; Anastacio, Pedro; Palma, Patricia","DVT-6541-2022; JMW-5923-2023; DVS-4109-2022; KGT-4149-2024; I-5402-2019; B-4716-2008; G-4112-2016",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:001193453000001,"Agricultural Practices to Improve Irrigation Sustainability",Article,WATER,2024,MAR,2024-03-01,16,6,undefined,undefined,undefined,5,10.3390/w16060817,"Palma, Patricia; Tomaz, Alexandra","G-4112-2016; I-5402-2019",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:001197338200001,"Water and carbon footprints in irrigated vineyards: an on-farm assessment","Article, Early Access","IRRIGATION SCIENCE",2024,"APR 5",2024-04-05,undefined,undefined,undefined,undefined,undefined,17,10.1007/s00271-024-00926-6,"Tomaz, Alexandra; Dores, Jose; Martins, Ines; Catarino, Adriana; Boteta, Luis; Santos, Marta; Patanita, Manuel; Palma, Patricia","I-5402-2019; KJO-3413-2024; LJG-7102-2024; DVT-6541-2022; CFT-3808-2022; FTM-8518-2022; DYR-8555-2022; G-4112-2016",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:001363606400001,"Effect of Different Irrigated Crop Successions on Soil Carbon and Nitrogen-Phosphorus-Potassium Budget Under Mediterranean Conditions",Article,AGRICULTURE-BASEL,2024,NOV,2024-11-01,14,11,undefined,undefined,undefined,21,10.3390/agriculture14111908,"Neto, Claudia; Catarino, Adriana; Sobreiro, Justino; das Dores, Jose; Patanita, Manuel; Tomaz, Alexandra; Palma, Patricia","HIZ-8284-2022; DVT-6541-2022; HIZ-8266-2022; LVA-3239-2024; DYR-8555-2022; I-5402-2019; G-4112-2016",undefined,undefined,N/A,WOS,N/A,N/A,N/A
